gender,age,pop,opera,horror,romantic,sci-fi,documentary,history,politics,cars,artexhibitions,gardening,celebrities,theatre,darkness,spiders,ageing,smoking,alcohol,healthyeating,thinkingahead,criminaldamage,elections,giving,lifestruggles,internetusage,finances,spendingonlooks
0.0,0.2666666666666666,1.0,0.5,0.0,0.75,0.25,0.75,0.5,0.0,0.0,0.25,0.75,0.0,0.75,0.25,1.0,0.75,0.75,1.0,0.25,0.75,0.25,0.75,0.25,1.0,0.3333333333333333,0.75,0.5
1.0,0.33333333333333326,0.0,0.0,0.75,0.25,1.0,0.75,0.25,0.0,0.75,0.0,0.5,0.25,0.0,0.0,0.5,0.0,0.75,1.0,0.75,0.25,0.25,0.0,0.5,0.0,0.6666666666666666,1.0,0.5
1.0,0.46666666666666656,0.5,0.5,0.5,0.5,0.5,0.75,1.0,1.0,0.75,0.399043303121853,0.0,0.0,0.5,0.0,0.0,0.25,1.0,1.0,0.75,1.0,0.25,1.0,0.5,0.0,0.0,1.0,0.5
0.0,0.3999999999999999,0.25,0.25,0.25,0.25,0.75,1.0,0.5,0.25,0.25,0.5,0.5,0.25,0.75,0.25,1.0,0.0,1.0,1.0,0.75,0.5,0.25,0.25,0.0,0.5,0.0,0.5,0.75
1.0,0.3999999999999999,0.75,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.75,0.5,0.0,0.75,0.5,0.3117469879518072,0.0,0.5,1.0,0.3333333333333333,0.75,0.25,0.25,0.25,0.5,0.75,0.0,0.75,1.0
0.0,0.33333333333333326,0.75,0.25,0.75,1.0,0.0,0.75,0.75,0.5,0.0,0.5,0.25,0.75,1.0,0.25,0.5,0.75,1.0,1.0,0.75,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.75
0.0,0.33333333333333326,0.5,0.0,0.5,0.25,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.25,0.5,0.5,1.0,0.5,1.0,0.6666666666666666,0.5,1.0,0.25,0.0,1.0,0.5,0.3333333333333333,0.75,0.75
0.0,0.06666666666666665,1.0,0.0,0.0,1.0,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.25,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.5,0.5
0.0,0.2666666666666666,0.75,0.0,0.5,0.75,0.25,0.5,0.75,0.5,0.5,0.25,0.25,0.75,0.5,0.75,1.0,0.75,0.5,0.3333333333333333,0.5,0.5,0.5,0.5,0.25,1.0,0.0,0.5,0.75
0.0,0.19999999999999996,0.75,0.5,0.75,0.75,0.25,0.5,0.75,0.75,0.5,0.75,0.25,0.25,1.0,0.5,0.5,0.25,0.5,1.0,0.5,0.5,0.25,1.0,0.5,0.75,0.0,0.5,0.5
1.0,0.33333333333333326,1.0,0.25,0.25,0.25,1.0,1.0,0.25,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.6666666666666666,0.5,0.0
1.0,0.33333333333333326,0.5,0.0,1.0,0.5,1.0,0.75,0.5,0.0,1.0,0.5,0.0,0.25,1.0,0.0,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.6666666666666666,0.5,0.0
0.0,0.33333333333333326,0.75,0.0,0.75,0.5,0.5,0.75,0.5524598393574297,0.25,0.75,0.0,0.0,0.25,0.0,0.75,1.0,0.75,0.5,1.0,0.5,1.0,0.0,0.5,0.49344758064516125,1.0,0.6666666666666666,0.25,1.0
0.0,0.33333333333333326,0.75,0.0,0.25,1.0,0.5,0.75,0.75,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.75,1.0,1.0,0.75,0.75,0.5,0.0,1.0,0.75,0.0,0.0,0.75
0.0,0.06666666666666665,0.5,0.25,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,1.0,1.0,0.75,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.5,0.5
0.0,0.19999999999999996,0.75,0.0,1.0,0.25,0.25,0.0,0.25,0.25,0.5,0.25,0.0,0.5,0.75,0.25,0.25,0.5,1.0,0.6666666666666666,0.75,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5
0.0,0.2666666666666666,1.0,0.0,0.25,1.0,0.5,0.5,0.25,0.5,0.25,0.0,0.25,0.5,0.25,0.5,1.0,0.0,1.0,1.0,1.0,0.25,0.0,1.0,0.5,0.75,0.0,0.75,0.5
0.0,0.3999999999999999,1.0,0.0,0.25,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.0,1.0,1.0,0.0,0.75,0.75,0.75,1.0,0.5,0.75,0.0,1.0,0.5,0.75,0.0,0.75,1.0
0.0,0.2666666666666666,1.0,0.5,1.0,0.6233668341708543,0.75,0.5,0.25,0.25,0.5,0.75,0.5,0.5,1.0,0.0,0.75,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.75,0.0,0.5,0.0
0.0,0.19999999999999996,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.5,0.25,1.0,0.5,0.75,1.0,0.25,0.25,0.0,0.75,1.0,0.25,0.75,1.0,0.5,1.0,0.75,0.0,1.0,0.0
0.0,0.3999999999999999,0.5,0.0,0.0,0.5,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0
1.0,0.2666666666666666,0.75,0.25,0.5,0.5,0.75,0.75,0.25,0.0,0.5,0.0,0.25,0.5,0.25,0.0,0.0,0.25,1.0,1.0,0.5,0.75,0.25,0.75,0.5,0.0,0.0,0.5,0.25
0.0,0.7333333333333334,0.5,0.0,0.75,0.75,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.75,0.75,0.75,0.0,0.75,1.0,1.0,1.0,0.5,0.5,0.75,0.5,1.0,0.0,0.5,0.5
0.0,0.5333333333333332,1.0,0.75,0.0,1.0,0.5,0.5,0.75,0.25,0.25,0.75,0.0,0.5,1.0,0.5,1.0,0.0,1.0,1.0,0.25,0.5,0.0,0.75,0.0,0.75,0.0,0.5,0.5
0.0,0.33333333333333326,0.75,0.5,0.75,1.0,1.0,1.0,0.5,0.25,0.0,0.0,0.5,0.5,0.5,1.0,0.75,1.0,1.0,1.0,0.5,0.75,1.0,1.0,0.5,1.0,0.0,0.0,0.25
0.0,0.1333333333333333,0.5,0.25,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.25,0.0,0.5,0.25,0.25,1.0,0.5,0.25,0.3333333333333333,0.5,0.5,1.0,0.5,1.0,0.0,0.3333333333333333,0.5,0.75
0.0,0.19999999999999996,0.0,0.5,0.0,0.25,0.75,1.0,0.75,0.0,0.0,1.0,0.75,0.0,0.5,1.0,0.5,0.0,0.75,1.0,0.75,0.25,0.5,0.0,0.25,1.0,0.0,0.5,0.5
0.0,0.33333333333333326,0.5,0.25,0.25,0.75,0.5,0.5,0.5,0.25,0.25,0.5,0.75,0.75,0.25,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.75,0.25,0.5,0.5,0.3333333333333333,0.5,0.5
1.0,0.33333333333333326,0.5,0.0,0.25,0.25,0.5,0.75,0.5,1.0,0.5,0.0,0.0,0.25,0.25,0.25,0.75,0.0,1.0,1.0,0.5,0.75,0.0,0.25,0.5,0.5,0.0,0.75,0.5
1.0,0.46666666666666656,0.5,0.25,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.25,0.0,0.5,0.5,0.5,0.75,0.5,0.75,1.0,0.25,0.25,0.25,0.25,0.5,0.5,0.0,0.75,0.25
0.0,0.46666666666666656,1.0,0.75,0.5,0.75,0.0,0.5,0.5,0.25,0.0,0.5,0.5,0.75,0.5,0.0,0.75,0.5,1.0,1.0,0.75,1.0,0.0,0.25,0.5,0.5,0.3333333333333333,0.75,0.5
0.0,0.2666666666666666,0.5,0.0,0.5,0.25,0.0,0.75,0.5,0.25,0.25,1.0,0.0,0.5,0.5,0.0,0.0,0.25,1.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0,0.75,0.75
1.0,0.46666666666666656,0.25,0.0,1.0,0.5,0.0,1.0,0.25,0.0,0.75,0.25,0.0,0.25,0.0,0.0,0.5,0.25,1.0,0.6666666666666666,0.75,1.0,1.0,0.25,0.5,0.0,0.0,0.5,0.25
1.0,0.2666666666666666,0.25,0.25,0.25,0.5,0.75,0.25,0.0,0.0,0.25,0.5,0.5,0.0,0.25,0.25,0.0,0.25,0.5,1.0,0.5,0.75,0.0,0.5,0.25,0.25,0.0,0.25,0.25
1.0,0.33333333333333326,0.75,0.25,0.25,0.5,1.0,0.75,0.25,0.25,0.25,0.25,0.25,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.75,0.75,1.0,0.25,0.25,0.0,0.0,0.25
0.0,0.3999999999999999,0.75,0.5,0.5,1.0,1.0,1.0,0.75,0.0,0.0,0.5,0.25,0.0,0.75,0.25,1.0,0.75,0.5,0.3333333333333333,0.75,0.75,1.0,1.0,1.0,0.75,0.6666666666666666,0.25,0.5
0.0,0.3999999999999999,0.25,0.75,0.0,0.5,0.75,0.75,1.0,0.5,0.25,0.75,0.0,0.0,1.0,0.25,0.25,0.5,1.0,0.3333333333333333,0.5,0.25,0.0,1.0,0.5,0.5,0.0,0.25,0.75
1.0,0.1333333333333333,1.0,0.0,0.0,0.5,0.5,0.25,0.25,0.5,1.0,0.25,0.25,0.25,0.0,0.25,0.75,0.5,0.5,1.0,0.5,0.25,0.25,0.5,0.5,0.5,0.0,0.5,0.5
1.0,0.19999999999999996,0.25,0.0,0.75,1.0,0.75,0.5,0.0,0.75,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.33333333333333326,0.0,0.5,0.0,0.25,0.0,1.0,0.75,0.0,0.0,1.0,0.5,0.0,1.0,1.0,0.75,0.25,1.0,1.0,0.0,0.75,0.0,0.5,0.75,1.0,0.3333333333333333,0.25,0.25
1.0,0.2666666666666666,0.75,0.0,0.5,0.5,0.5,0.5,0.0,0.25,1.0,0.0,0.25,1.0,0.0,0.0,0.5,0.0,0.5,0.3333333333333333,1.0,0.25,0.75,0.75,0.5,0.75,0.0,0.0,0.5
1.0,0.9333333333333333,0.25,0.5,0.75,0.75,0.75,1.0,1.0,1.0,0.5,0.25,0.25,0.0,1.0,0.25,0.5,0.0,0.5,0.3333333333333333,0.75,0.75,0.0,1.0,0.5,0.5,0.3333333333333333,1.0,0.25
1.0,0.3999999999999999,0.5,0.0,1.0,0.5,0.25,1.0,0.75,0.5,0.25,0.25,0.0,0.5,0.25,0.0,0.25,0.75,0.25,0.6666666666666666,0.5,0.25,1.0,0.25,0.0,0.5,0.0,0.25,1.0
0.0,0.33333333333333326,0.0,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.25,0.75,0.25,0.0,0.75,0.75,0.0,0.25,1.0,1.0,0.75,0.75,0.5,0.5,0.5,0.5,0.0,0.5,0.5
1.0,0.46666666666666656,0.75,0.25,0.75,0.5,0.75,0.75,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,1.0,1.0,0.5,0.5,0.0,0.75,0.25,0.0,0.0,0.5,0.25
0.0,0.3999999999999999,0.5,0.0,0.0,1.0,0.5,0.5,0.25,0.25,0.0,0.25,0.0,0.0,0.25,1.0,1.0,0.5,0.5,1.0,0.25,1.0,0.0,1.0,0.75,1.0,0.0,0.5,0.25
0.0,0.2666666666666666,0.75,1.0,0.0,0.75,0.5,1.0,1.0,0.0,0.0,0.75,0.75,0.0,1.0,0.75,0.0,0.0,0.75,1.0,0.75,0.75,0.0,0.75,0.0,0.75,0.0,1.0,0.0
0.0,0.33333333333333326,0.75,0.25,0.75,1.0,0.25,0.75,1.0,0.25,0.0,0.75,0.0,0.75,0.5,1.0,0.25,1.0,1.0,1.0,0.5,1.0,0.5,0.25,0.75,1.0,0.3333333333333333,1.0,0.25
1.0,0.33333333333333326,0.75,0.0,0.25,0.75,0.75,0.5,0.75,0.75,1.0,0.5,0.0,0.0,0.5,0.25,0.25,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.5,0.0,0.0,0.5,0.5
0.0,0.3999999999999999,0.75,0.5,0.75,1.0,1.0,1.0,0.5,0.25,0.5,1.0,0.75,1.0,1.0,0.5,1.0,0.0,0.5,1.0,0.75,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,0.75,0.5
1.0,0.33333333333333326,0.25,1.0,1.0,0.5,1.0,1.0,1.0,0.75,0.5,1.0,0.75,0.0,1.0,0.0,0.75,0.0,1.0,0.3333333333333333,0.75,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.5,0.75
0.0,0.2666666666666666,0.75,0.0,0.5,0.75,1.0,0.75,0.5,0.75,0.75,0.25,0.25,0.5,0.25,0.5,0.5,1.0,1.0,0.6666666666666666,0.75,0.5,0.5,0.75,0.75,0.75,0.0,0.5,0.75
1.0,0.6666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.25,0.5,0.5,0.25,0.25,0.25,0.75,0.25,0.3333333333333333,0.75,0.25,0.25,0.25,0.0,0.75,0.0,0.5,0.25
0.0,0.9333333333333333,0.5,1.0,0.0,0.25,0.0,1.0,1.0,0.0,0.0,0.25,0.0,0.0,1.0,1.0,0.0,1.0,0.25,1.0,0.5,0.75,0.0,1.0,0.5,0.25,0.6666666666666666,0.75,0.5
0.0,0.19999999999999996,0.75,0.75,0.5,0.75,0.75,0.5,0.75,0.5,0.75,0.5,0.25,0.75,0.75,0.75,1.0,0.5,0.75,1.0,0.25,0.75,0.0,0.5,0.5,0.75,0.0,1.0,0.5
0.0,0.33333333333333326,0.25,0.75,0.5,0.25,0.25,0.75,0.75,0.0,0.0,0.25,0.5,0.25,0.5,0.25,0.25,1.0,1.0,1.0,0.25,0.5,0.0,0.0,0.5,0.75,0.0,0.75,0.25
0.0,0.3999999999999999,0.25,0.75,0.0,0.5,0.5,0.25,0.75,0.75,0.25,0.75,0.5,0.0,0.75,0.5,1.0,1.0,0.5,1.0,0.5,0.25,1.0,1.0,0.75,1.0,0.3333333333333333,0.5,0.75
1.0,0.33333333333333326,0.75,0.0,0.25,0.5,0.0,0.5,1.0,1.0,1.0,0.0,0.0,0.75,0.0,0.0,0.5,1.0,1.0,0.6666666666666666,1.0,0.75,0.75,1.0,0.75,0.0,0.0,0.75,0.25
0.0,0.33333333333333326,0.75,0.25,0.5,1.0,1.0,0.75,1.0,0.0,0.0,0.5,0.0,0.0,0.75,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.25,0.5,0.75,0.75,0.0,0.75,0.5
1.0,0.1333333333333333,0.75,0.25,0.5,0.5,0.5,0.0,0.25,0.25,0.75,0.5,0.0,0.25,0.0,0.5,0.25,0.5,0.75,0.6666666666666666,0.75,0.75,0.0,0.25,0.75,0.25,0.0,0.75,0.75
1.0,0.2666666666666666,0.25,0.25,0.25,0.5,0.5,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.5,0.75
1.0,0.1333333333333333,0.0,0.0,0.0,0.5,1.0,0.5,0.75,0.0,0.0,0.5,0.0,0.5,0.25,0.0,0.5,0.0,1.0,1.0,0.5,0.5,0.25,0.0,0.5,0.5,0.0,0.5,0.5
1.0,0.7333333333333334,0.75,0.25,1.0,0.25,0.75,0.5,0.5,0.5,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.5,1.0,0.25,0.75,0.25,1.0,0.0,0.25,0.6666666666666666,0.75,0.25
0.0,0.33333333333333326,0.5,0.5,0.5,0.5,1.0,0.25,0.5,1.0,0.0,0.75,0.0,0.25,1.0,0.25,0.75,0.0,1.0,1.0,0.75,1.0,0.75,1.0,1.0,0.5,0.0,0.5,0.25
0.0,0.3999999999999999,1.0,1.0,0.25,1.0,1.0,0.5,0.25,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.25,0.5,0.0,1.0,0.25,0.75,0.0,0.75,0.75
0.0,0.33333333333333326,0.75,0.0,0.0,1.0,0.25,1.0,0.75,0.25,0.0,0.5,0.0,0.0,0.0,0.75,0.25,0.5,0.75,1.0,0.5,0.25,0.0,1.0,0.25,1.0,0.3333333333333333,0.5,0.5
0.0,0.2666666666666666,0.5,0.25,0.5,1.0,1.0,0.75,0.5,0.25,0.5,0.75,0.25,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.25,1.0,0.75,0.0,0.75,0.3333333333333333,0.5,0.25
0.0,0.2666666666666666,0.5,0.0,0.25,0.5,0.75,0.75,0.0,0.75,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.5,0.75,0.3333333333333333,0.5,0.75,0.0,1.0,0.25,0.0,0.0,0.5,0.25
1.0,0.3999999999999999,0.25,0.0,1.0,0.0,1.0,0.75,0.75,1.0,1.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.25,1.0,0.0,0.75,1.0,1.0,0.0,0.0,0.0,0.75,0.75
1.0,0.33333333333333326,0.75,0.0,1.0,0.5,0.5,0.5,0.75,0.75,0.0,0.0,0.0,0.75,0.5,0.0,0.0,0.5,1.0,1.0,0.25,1.0,0.0,1.0,0.0,0.25,0.0,0.5,1.0
0.0,0.1333333333333333,1.0,0.25,1.0,0.5,0.5,0.5,0.25,0.5,1.0,0.75,0.5,0.0,0.75,0.75,1.0,1.0,1.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0,0.5,1.0
